id	name	test1	test2	test3
6780	消灭4799448个敌人	1,4799448	1,2,3,4117	1,1;2,2;3,4116
6781	消灭4799449个敌人	1,4799449	1,2,3,4118	1,1;2,2;3,4117
6782	消灭4799450个敌人	1,4799450	1,2,3,4119	1,1;2,2;3,4118
6783	消灭4799451个敌人	1,4799451	1,2,3,4120	1,1;2,2;3,4119
6784	消灭4799452个敌人	1,4799452	1,2,3,4121	1,1;2,2;3,4120
6785	消灭4799453个敌人	1,4799453	1,2,3,4122	1,1;2,2;3,4121
6786	消灭4799454个敌人	1,4799454	1,2,3,4123	1,1;2,2;3,4122
6787	消灭4799455个敌人	1,4799455	1,2,3,4124	1,1;2,2;3,4123
6788	消灭4799456个敌人	1,4799456	1,2,3,4125	1,1;2,2;3,4124
6789	消灭4799457个敌人	1,4799457	1,2,3,4126	1,1;2,2;3,4125
6790	消灭4799458个敌人	1,4799458	1,2,3,4127	1,1;2,2;3,4126
6791	消灭4799459个敌人	1,4799459	1,2,3,4128	1,1;2,2;3,4127
6792	消灭4799460个敌人	1,4799460	1,2,3,4129	1,1;2,2;3,4128
6793	消灭4799461个敌人	1,4799461	1,2,3,4130	1,1;2,2;3,4129
6794	消灭4799462个敌人	1,4799462	1,2,3,4131	1,1;2,2;3,4130
6795	消灭4799463个敌人	1,4799463	1,2,3,4132	1,1;2,2;3,4131
6796	消灭4799464个敌人	1,4799464	1,2,3,4133	1,1;2,2;3,4132
6797	消灭4799465个敌人	1,4799465	1,2,3,4134	1,1;2,2;3,4133
6798	消灭4799466个敌人	1,4799466	1,2,3,4135	1,1;2,2;3,4134
6799	消灭4799467个敌人	1,4799467	1,2,3,4136	1,1;2,2;3,4135
6800	消灭4799468个敌人	1,4799468	1,2,3,4137	1,1;2,2;3,4136
6801	消灭4799469个敌人	1,4799469	1,2,3,4138	1,1;2,2;3,4137
6802	消灭4799470个敌人	1,4799470	1,2,3,4139	1,1;2,2;3,4138
6803	消灭4799471个敌人	1,4799471	1,2,3,4140	1,1;2,2;3,4139
6804	消灭4799472个敌人	1,4799472	1,2,3,4141	1,1;2,2;3,4140
6805	消灭4799473个敌人	1,4799473	1,2,3,4142	1,1;2,2;3,4141
6806	消灭4799474个敌人	1,4799474	1,2,3,4143	1,1;2,2;3,4142
6807	消灭4799475个敌人	1,4799475	1,2,3,4144	1,1;2,2;3,4143
6808	消灭4799476个敌人	1,4799476	1,2,3,4145	1,1;2,2;3,4144
6809	消灭4799477个敌人	1,4799477	1,2,3,4146	1,1;2,2;3,4145
6810	消灭4799478个敌人	1,4799478	1,2,3,4147	1,1;2,2;3,4146
6811	消灭4799479个敌人	1,4799479	1,2,3,4148	1,1;2,2;3,4147
6812	消灭4799480个敌人	1,4799480	1,2,3,4149	1,1;2,2;3,4148
6813	消灭4799481个敌人	1,4799481	1,2,3,4150	1,1;2,2;3,4149
6814	消灭4799482个敌人	1,4799482	1,2,3,4151	1,1;2,2;3,4150
6815	消灭4799483个敌人	1,4799483	1,2,3,4152	1,1;2,2;3,4151
6816	消灭4799484个敌人	1,4799484	1,2,3,4153	1,1;2,2;3,4152
6817	消灭4799485个敌人	1,4799485	1,2,3,4154	1,1;2,2;3,4153
6818	消灭4799486个敌人	1,4799486	1,2,3,4155	1,1;2,2;3,4154
6819	消灭4799487个敌人	1,4799487	1,2,3,4156	1,1;2,2;3,4155
6820	消灭4799488个敌人	1,4799488	1,2,3,4157	1,1;2,2;3,4156
6821	消灭4799489个敌人	1,4799489	1,2,3,4158	1,1;2,2;3,4157
6822	消灭4799490个敌人	1,4799490	1,2,3,4159	1,1;2,2;3,4158
6823	消灭4799491个敌人	1,4799491	1,2,3,4160	1,1;2,2;3,4159
6824	消灭4799492个敌人	1,4799492	1,2,3,4161	1,1;2,2;3,4160
6825	消灭4799493个敌人	1,4799493	1,2,3,4162	1,1;2,2;3,4161
6826	消灭4799494个敌人	1,4799494	1,2,3,4163	1,1;2,2;3,4162
6827	消灭4799495个敌人	1,4799495	1,2,3,4164	1,1;2,2;3,4163
6828	消灭4799496个敌人	1,4799496	1,2,3,4165	1,1;2,2;3,4164
6829	消灭4799497个敌人	1,4799497	1,2,3,4166	1,1;2,2;3,4165
6830	消灭4799498个敌人	1,4799498	1,2,3,4167	1,1;2,2;3,4166
6831	消灭4799499个敌人	1,4799499	1,2,3,4168	1,1;2,2;3,4167
6832	消灭4799500个敌人	1,4799500	1,2,3,4169	1,1;2,2;3,4168
6833	消灭4799501个敌人	1,4799501	1,2,3,4170	1,1;2,2;3,4169
6834	消灭4799502个敌人	1,4799502	1,2,3,4171	1,1;2,2;3,4170
6835	消灭4799503个敌人	1,4799503	1,2,3,4172	1,1;2,2;3,4171
6836	消灭4799504个敌人	1,4799504	1,2,3,4173	1,1;2,2;3,4172
6837	消灭4799505个敌人	1,4799505	1,2,3,4174	1,1;2,2;3,4173
6838	消灭4799506个敌人	1,4799506	1,2,3,4175	1,1;2,2;3,4174
6839	消灭4799507个敌人	1,4799507	1,2,3,4176	1,1;2,2;3,4175
6840	消灭4799508个敌人	1,4799508	1,2,3,4177	1,1;2,2;3,4176
6841	消灭4799509个敌人	1,4799509	1,2,3,4178	1,1;2,2;3,4177
6842	消灭4799510个敌人	1,4799510	1,2,3,4179	1,1;2,2;3,4178
6843	消灭4799511个敌人	1,4799511	1,2,3,4180	1,1;2,2;3,4179
6844	消灭4799512个敌人	1,4799512	1,2,3,4181	1,1;2,2;3,4180
6845	消灭4799513个敌人	1,4799513	1,2,3,4182	1,1;2,2;3,4181
6846	消灭4799514个敌人	1,4799514	1,2,3,4183	1,1;2,2;3,4182
6847	消灭4799515个敌人	1,4799515	1,2,3,4184	1,1;2,2;3,4183
6848	消灭4799516个敌人	1,4799516	1,2,3,4185	1,1;2,2;3,4184
6849	消灭4799517个敌人	1,4799517	1,2,3,4186	1,1;2,2;3,4185
6850	消灭4799518个敌人	1,4799518	1,2,3,4187	1,1;2,2;3,4186
6851	消灭4799519个敌人	1,4799519	1,2,3,4188	1,1;2,2;3,4187
6852	消灭4799520个敌人	1,4799520	1,2,3,4189	1,1;2,2;3,4188
6853	消灭4799521个敌人	1,4799521	1,2,3,4190	1,1;2,2;3,4189
6854	消灭4799522个敌人	1,4799522	1,2,3,4191	1,1;2,2;3,4190
6855	消灭4799523个敌人	1,4799523	1,2,3,4192	1,1;2,2;3,4191
6856	消灭4799524个敌人	1,4799524	1,2,3,4193	1,1;2,2;3,4192
6857	消灭4799525个敌人	1,4799525	1,2,3,4194	1,1;2,2;3,4193
6858	消灭4799526个敌人	1,4799526	1,2,3,4195	1,1;2,2;3,4194
6859	消灭4799527个敌人	1,4799527	1,2,3,4196	1,1;2,2;3,4195
6860	消灭4799528个敌人	1,4799528	1,2,3,4197	1,1;2,2;3,4196
6861	消灭4799529个敌人	1,4799529	1,2,3,4198	1,1;2,2;3,4197
6862	消灭4799530个敌人	1,4799530	1,2,3,4199	1,1;2,2;3,4198
6863	消灭4799531个敌人	1,4799531	1,2,3,4200	1,1;2,2;3,4199
6864	消灭4799532个敌人	1,4799532	1,2,3,4201	1,1;2,2;3,4200
6865	消灭4799533个敌人	1,4799533	1,2,3,4202	1,1;2,2;3,4201
6866	消灭4799534个敌人	1,4799534	1,2,3,4203	1,1;2,2;3,4202
6867	消灭4799535个敌人	1,4799535	1,2,3,4204	1,1;2,2;3,4203
6868	消灭4799536个敌人	1,4799536	1,2,3,4205	1,1;2,2;3,4204
6869	消灭4799537个敌人	1,4799537	1,2,3,4206	1,1;2,2;3,4205
6870	消灭4799538个敌人	1,4799538	1,2,3,4207	1,1;2,2;3,4206
6871	消灭4799539个敌人	1,4799539	1,2,3,4208	1,1;2,2;3,4207
6872	消灭4799540个敌人	1,4799540	1,2,3,4209	1,1;2,2;3,4208
6873	消灭4799541个敌人	1,4799541	1,2,3,4210	1,1;2,2;3,4209
6874	消灭4799542个敌人	1,4799542	1,2,3,4211	1,1;2,2;3,4210
6875	消灭4799543个敌人	1,4799543	1,2,3,4212	1,1;2,2;3,4211
6876	消灭4799544个敌人	1,4799544	1,2,3,4213	1,1;2,2;3,4212
6877	消灭4799545个敌人	1,4799545	1,2,3,4214	1,1;2,2;3,4213
6878	消灭4799546个敌人	1,4799546	1,2,3,4215	1,1;2,2;3,4214
6879	消灭4799547个敌人	1,4799547	1,2,3,4216	1,1;2,2;3,4215
6880	消灭4799548个敌人	1,4799548	1,2,3,4217	1,1;2,2;3,4216
6881	消灭4799549个敌人	1,4799549	1,2,3,4218	1,1;2,2;3,4217
6882	消灭4799550个敌人	1,4799550	1,2,3,4219	1,1;2,2;3,4218
6883	消灭4799551个敌人	1,4799551	1,2,3,4220	1,1;2,2;3,4219
6884	消灭4799552个敌人	1,4799552	1,2,3,4221	1,1;2,2;3,4220
6885	消灭4799553个敌人	1,4799553	1,2,3,4222	1,1;2,2;3,4221
6886	消灭4799554个敌人	1,4799554	1,2,3,4223	1,1;2,2;3,4222
6887	消灭4799555个敌人	1,4799555	1,2,3,4224	1,1;2,2;3,4223
6888	消灭4799556个敌人	1,4799556	1,2,3,4225	1,1;2,2;3,4224
6889	消灭4799557个敌人	1,4799557	1,2,3,4226	1,1;2,2;3,4225
6890	消灭4799558个敌人	1,4799558	1,2,3,4227	1,1;2,2;3,4226
6891	消灭4799559个敌人	1,4799559	1,2,3,4228	1,1;2,2;3,4227
6892	消灭4799560个敌人	1,4799560	1,2,3,4229	1,1;2,2;3,4228
6893	消灭4799561个敌人	1,4799561	1,2,3,4230	1,1;2,2;3,4229
6894	消灭4799562个敌人	1,4799562	1,2,3,4231	1,1;2,2;3,4230
6895	消灭4799563个敌人	1,4799563	1,2,3,4232	1,1;2,2;3,4231
6896	消灭4799564个敌人	1,4799564	1,2,3,4233	1,1;2,2;3,4232
6897	消灭4799565个敌人	1,4799565	1,2,3,4234	1,1;2,2;3,4233
6898	消灭4799566个敌人	1,4799566	1,2,3,4235	1,1;2,2;3,4234
6899	消灭4799567个敌人	1,4799567	1,2,3,4236	1,1;2,2;3,4235
6900	消灭4799568个敌人	1,4799568	1,2,3,4237	1,1;2,2;3,4236
6901	消灭4799569个敌人	1,4799569	1,2,3,4238	1,1;2,2;3,4237
6902	消灭4799570个敌人	1,4799570	1,2,3,4239	1,1;2,2;3,4238
6903	消灭4799571个敌人	1,4799571	1,2,3,4240	1,1;2,2;3,4239
6904	消灭4799572个敌人	1,4799572	1,2,3,4241	1,1;2,2;3,4240
6905	消灭4799573个敌人	1,4799573	1,2,3,4242	1,1;2,2;3,4241
6906	消灭4799574个敌人	1,4799574	1,2,3,4243	1,1;2,2;3,4242
6907	消灭4799575个敌人	1,4799575	1,2,3,4244	1,1;2,2;3,4243
6908	消灭4799576个敌人	1,4799576	1,2,3,4245	1,1;2,2;3,4244
6909	消灭4799577个敌人	1,4799577	1,2,3,4246	1,1;2,2;3,4245
6910	消灭4799578个敌人	1,4799578	1,2,3,4247	1,1;2,2;3,4246
6911	消灭4799579个敌人	1,4799579	1,2,3,4248	1,1;2,2;3,4247
6912	消灭4799580个敌人	1,4799580	1,2,3,4249	1,1;2,2;3,4248
6913	消灭4799581个敌人	1,4799581	1,2,3,4250	1,1;2,2;3,4249
6914	消灭4799582个敌人	1,4799582	1,2,3,4251	1,1;2,2;3,4250
6915	消灭4799583个敌人	1,4799583	1,2,3,4252	1,1;2,2;3,4251
6916	消灭4799584个敌人	1,4799584	1,2,3,4253	1,1;2,2;3,4252
6917	消灭4799585个敌人	1,4799585	1,2,3,4254	1,1;2,2;3,4253
6918	消灭4799586个敌人	1,4799586	1,2,3,4255	1,1;2,2;3,4254
6919	消灭4799587个敌人	1,4799587	1,2,3,4256	1,1;2,2;3,4255
6920	消灭4799588个敌人	1,4799588	1,2,3,4257	1,1;2,2;3,4256
6921	消灭4799589个敌人	1,4799589	1,2,3,4258	1,1;2,2;3,4257
6922	消灭4799590个敌人	1,4799590	1,2,3,4259	1,1;2,2;3,4258
6923	消灭4799591个敌人	1,4799591	1,2,3,4260	1,1;2,2;3,4259
6924	消灭4799592个敌人	1,4799592	1,2,3,4261	1,1;2,2;3,4260
6925	消灭4799593个敌人	1,4799593	1,2,3,4262	1,1;2,2;3,4261
6926	消灭4799594个敌人	1,4799594	1,2,3,4263	1,1;2,2;3,4262
6927	消灭4799595个敌人	1,4799595	1,2,3,4264	1,1;2,2;3,4263
6928	消灭4799596个敌人	1,4799596	1,2,3,4265	1,1;2,2;3,4264
6929	消灭4799597个敌人	1,4799597	1,2,3,4266	1,1;2,2;3,4265
6930	消灭4799598个敌人	1,4799598	1,2,3,4267	1,1;2,2;3,4266
6931	消灭4799599个敌人	1,4799599	1,2,3,4268	1,1;2,2;3,4267
6932	消灭4799600个敌人	1,4799600	1,2,3,4269	1,1;2,2;3,4268
6933	消灭4799601个敌人	1,4799601	1,2,3,4270	1,1;2,2;3,4269
6934	消灭4799602个敌人	1,4799602	1,2,3,4271	1,1;2,2;3,4270
6935	消灭4799603个敌人	1,4799603	1,2,3,4272	1,1;2,2;3,4271
6936	消灭4799604个敌人	1,4799604	1,2,3,4273	1,1;2,2;3,4272
6937	消灭4799605个敌人	1,4799605	1,2,3,4274	1,1;2,2;3,4273
6938	消灭4799606个敌人	1,4799606	1,2,3,4275	1,1;2,2;3,4274
6939	消灭4799607个敌人	1,4799607	1,2,3,4276	1,1;2,2;3,4275
6940	消灭4799608个敌人	1,4799608	1,2,3,4277	1,1;2,2;3,4276
6941	消灭4799609个敌人	1,4799609	1,2,3,4278	1,1;2,2;3,4277
6942	消灭4799610个敌人	1,4799610	1,2,3,4279	1,1;2,2;3,4278
6943	消灭4799611个敌人	1,4799611	1,2,3,4280	1,1;2,2;3,4279
6944	消灭4799612个敌人	1,4799612	1,2,3,4281	1,1;2,2;3,4280
6945	消灭4799613个敌人	1,4799613	1,2,3,4282	1,1;2,2;3,4281
6946	消灭4799614个敌人	1,4799614	1,2,3,4283	1,1;2,2;3,4282
6947	消灭4799615个敌人	1,4799615	1,2,3,4284	1,1;2,2;3,4283
6948	消灭4799616个敌人	1,4799616	1,2,3,4285	1,1;2,2;3,4284
6949	消灭4799617个敌人	1,4799617	1,2,3,4286	1,1;2,2;3,4285
6950	消灭4799618个敌人	1,4799618	1,2,3,4287	1,1;2,2;3,4286
6951	消灭4799619个敌人	1,4799619	1,2,3,4288	1,1;2,2;3,4287
6952	消灭4799620个敌人	1,4799620	1,2,3,4289	1,1;2,2;3,4288
6953	消灭4799621个敌人	1,4799621	1,2,3,4290	1,1;2,2;3,4289
6954	消灭4799622个敌人	1,4799622	1,2,3,4291	1,1;2,2;3,4290
6955	消灭4799623个敌人	1,4799623	1,2,3,4292	1,1;2,2;3,4291
6956	消灭4799624个敌人	1,4799624	1,2,3,4293	1,1;2,2;3,4292
6957	消灭4799625个敌人	1,4799625	1,2,3,4294	1,1;2,2;3,4293
6958	消灭4799626个敌人	1,4799626	1,2,3,4295	1,1;2,2;3,4294
6959	消灭4799627个敌人	1,4799627	1,2,3,4296	1,1;2,2;3,4295
6960	消灭4799628个敌人	1,4799628	1,2,3,4297	1,1;2,2;3,4296
6961	消灭4799629个敌人	1,4799629	1,2,3,4298	1,1;2,2;3,4297
6962	消灭4799630个敌人	1,4799630	1,2,3,4299	1,1;2,2;3,4298
6963	消灭4799631个敌人	1,4799631	1,2,3,4300	1,1;2,2;3,4299
6964	消灭4799632个敌人	1,4799632	1,2,3,4301	1,1;2,2;3,4300
6965	消灭4799633个敌人	1,4799633	1,2,3,4302	1,1;2,2;3,4301
6966	消灭4799634个敌人	1,4799634	1,2,3,4303	1,1;2,2;3,4302
6967	消灭4799635个敌人	1,4799635	1,2,3,4304	1,1;2,2;3,4303
6968	消灭4799636个敌人	1,4799636	1,2,3,4305	1,1;2,2;3,4304
6969	消灭4799637个敌人	1,4799637	1,2,3,4306	1,1;2,2;3,4305
6970	消灭4799638个敌人	1,4799638	1,2,3,4307	1,1;2,2;3,4306
6971	消灭4799639个敌人	1,4799639	1,2,3,4308	1,1;2,2;3,4307
6972	消灭4799640个敌人	1,4799640	1,2,3,4309	1,1;2,2;3,4308
6973	消灭4799641个敌人	1,4799641	1,2,3,4310	1,1;2,2;3,4309
6974	消灭4799642个敌人	1,4799642	1,2,3,4311	1,1;2,2;3,4310
6975	消灭4799643个敌人	1,4799643	1,2,3,4312	1,1;2,2;3,4311
6976	消灭4799644个敌人	1,4799644	1,2,3,4313	1,1;2,2;3,4312
6977	消灭4799645个敌人	1,4799645	1,2,3,4314	1,1;2,2;3,4313
6978	消灭4799646个敌人	1,4799646	1,2,3,4315	1,1;2,2;3,4314
6979	消灭4799647个敌人	1,4799647	1,2,3,4316	1,1;2,2;3,4315
6980	消灭4799648个敌人	1,4799648	1,2,3,4317	1,1;2,2;3,4316
6981	消灭4799649个敌人	1,4799649	1,2,3,4318	1,1;2,2;3,4317
6982	消灭4799650个敌人	1,4799650	1,2,3,4319	1,1;2,2;3,4318
6983	消灭4799651个敌人	1,4799651	1,2,3,4320	1,1;2,2;3,4319
6984	消灭4799652个敌人	1,4799652	1,2,3,4321	1,1;2,2;3,4320
6985	消灭4799653个敌人	1,4799653	1,2,3,4322	1,1;2,2;3,4321
6986	消灭4799654个敌人	1,4799654	1,2,3,4323	1,1;2,2;3,4322
6987	消灭4799655个敌人	1,4799655	1,2,3,4324	1,1;2,2;3,4323
6988	消灭4799656个敌人	1,4799656	1,2,3,4325	1,1;2,2;3,4324
6989	消灭4799657个敌人	1,4799657	1,2,3,4326	1,1;2,2;3,4325
6990	消灭4799658个敌人	1,4799658	1,2,3,4327	1,1;2,2;3,4326
6991	消灭4799659个敌人	1,4799659	1,2,3,4328	1,1;2,2;3,4327
6992	消灭4799660个敌人	1,4799660	1,2,3,4329	1,1;2,2;3,4328
6993	消灭4799661个敌人	1,4799661	1,2,3,4330	1,1;2,2;3,4329
6994	消灭4799662个敌人	1,4799662	1,2,3,4331	1,1;2,2;3,4330
6995	消灭4799663个敌人	1,4799663	1,2,3,4332	1,1;2,2;3,4331
6996	消灭4799664个敌人	1,4799664	1,2,3,4333	1,1;2,2;3,4332
6997	消灭4799665个敌人	1,4799665	1,2,3,4334	1,1;2,2;3,4333
6998	消灭4799666个敌人	1,4799666	1,2,3,4335	1,1;2,2;3,4334
6999	消灭4799667个敌人	1,4799667	1,2,3,4336	1,1;2,2;3,4335
7000	消灭4799668个敌人	1,4799668	1,2,3,4337	1,1;2,2;3,4336
7001	消灭4799669个敌人	1,4799669	1,2,3,4338	1,1;2,2;3,4337
7002	消灭4799670个敌人	1,4799670	1,2,3,4339	1,1;2,2;3,4338
7003	消灭4799671个敌人	1,4799671	1,2,3,4340	1,1;2,2;3,4339
7004	消灭4799672个敌人	1,4799672	1,2,3,4341	1,1;2,2;3,4340
7005	消灭4799673个敌人	1,4799673	1,2,3,4342	1,1;2,2;3,4341
7006	消灭4799674个敌人	1,4799674	1,2,3,4343	1,1;2,2;3,4342
7007	消灭4799675个敌人	1,4799675	1,2,3,4344	1,1;2,2;3,4343
7008	消灭4799676个敌人	1,4799676	1,2,3,4345	1,1;2,2;3,4344
7009	消灭4799677个敌人	1,4799677	1,2,3,4346	1,1;2,2;3,4345
7010	消灭4799678个敌人	1,4799678	1,2,3,4347	1,1;2,2;3,4346
7011	消灭4799679个敌人	1,4799679	1,2,3,4348	1,1;2,2;3,4347
7012	消灭4799680个敌人	1,4799680	1,2,3,4349	1,1;2,2;3,4348
7013	消灭4799681个敌人	1,4799681	1,2,3,4350	1,1;2,2;3,4349
7014	消灭4799682个敌人	1,4799682	1,2,3,4351	1,1;2,2;3,4350
7015	消灭4799683个敌人	1,4799683	1,2,3,4352	1,1;2,2;3,4351
7016	消灭4799684个敌人	1,4799684	1,2,3,4353	1,1;2,2;3,4352
7017	消灭4799685个敌人	1,4799685	1,2,3,4354	1,1;2,2;3,4353
7018	消灭4799686个敌人	1,4799686	1,2,3,4355	1,1;2,2;3,4354
7019	消灭4799687个敌人	1,4799687	1,2,3,4356	1,1;2,2;3,4355
7020	消灭4799688个敌人	1,4799688	1,2,3,4357	1,1;2,2;3,4356
7021	消灭4799689个敌人	1,4799689	1,2,3,4358	1,1;2,2;3,4357
7022	消灭4799690个敌人	1,4799690	1,2,3,4359	1,1;2,2;3,4358
7023	消灭4799691个敌人	1,4799691	1,2,3,4360	1,1;2,2;3,4359
7024	消灭4799692个敌人	1,4799692	1,2,3,4361	1,1;2,2;3,4360
7025	消灭4799693个敌人	1,4799693	1,2,3,4362	1,1;2,2;3,4361
7026	消灭4799694个敌人	1,4799694	1,2,3,4363	1,1;2,2;3,4362
7027	消灭4799695个敌人	1,4799695	1,2,3,4364	1,1;2,2;3,4363
7028	消灭4799696个敌人	1,4799696	1,2,3,4365	1,1;2,2;3,4364
7029	消灭4799697个敌人	1,4799697	1,2,3,4366	1,1;2,2;3,4365
7030	消灭4799698个敌人	1,4799698	1,2,3,4367	1,1;2,2;3,4366
7031	消灭4799699个敌人	1,4799699	1,2,3,4368	1,1;2,2;3,4367
7032	消灭4799700个敌人	1,4799700	1,2,3,4369	1,1;2,2;3,4368
7033	消灭4799701个敌人	1,4799701	1,2,3,4370	1,1;2,2;3,4369
7034	消灭4799702个敌人	1,4799702	1,2,3,4371	1,1;2,2;3,4370
7035	消灭4799703个敌人	1,4799703	1,2,3,4372	1,1;2,2;3,4371
7036	消灭4799704个敌人	1,4799704	1,2,3,4373	1,1;2,2;3,4372
7037	消灭4799705个敌人	1,4799705	1,2,3,4374	1,1;2,2;3,4373
7038	消灭4799706个敌人	1,4799706	1,2,3,4375	1,1;2,2;3,4374
7039	消灭4799707个敌人	1,4799707	1,2,3,4376	1,1;2,2;3,4375
7040	消灭4799708个敌人	1,4799708	1,2,3,4377	1,1;2,2;3,4376
7041	消灭4799709个敌人	1,4799709	1,2,3,4378	1,1;2,2;3,4377
7042	消灭4799710个敌人	1,4799710	1,2,3,4379	1,1;2,2;3,4378
7043	消灭4799711个敌人	1,4799711	1,2,3,4380	1,1;2,2;3,4379
7044	消灭4799712个敌人	1,4799712	1,2,3,4381	1,1;2,2;3,4380
7045	消灭4799713个敌人	1,4799713	1,2,3,4382	1,1;2,2;3,4381
7046	消灭4799714个敌人	1,4799714	1,2,3,4383	1,1;2,2;3,4382
7047	消灭4799715个敌人	1,4799715	1,2,3,4384	1,1;2,2;3,4383
7048	消灭4799716个敌人	1,4799716	1,2,3,4385	1,1;2,2;3,4384
7049	消灭4799717个敌人	1,4799717	1,2,3,4386	1,1;2,2;3,4385
7050	消灭4799718个敌人	1,4799718	1,2,3,4387	1,1;2,2;3,4386
7051	消灭4799719个敌人	1,4799719	1,2,3,4388	1,1;2,2;3,4387
7052	消灭4799720个敌人	1,4799720	1,2,3,4389	1,1;2,2;3,4388
7053	消灭4799721个敌人	1,4799721	1,2,3,4390	1,1;2,2;3,4389
7054	消灭4799722个敌人	1,4799722	1,2,3,4391	1,1;2,2;3,4390
7055	消灭4799723个敌人	1,4799723	1,2,3,4392	1,1;2,2;3,4391
7056	消灭4799724个敌人	1,4799724	1,2,3,4393	1,1;2,2;3,4392
7057	消灭4799725个敌人	1,4799725	1,2,3,4394	1,1;2,2;3,4393
7058	消灭4799726个敌人	1,4799726	1,2,3,4395	1,1;2,2;3,4394
7059	消灭4799727个敌人	1,4799727	1,2,3,4396	1,1;2,2;3,4395
7060	消灭4799728个敌人	1,4799728	1,2,3,4397	1,1;2,2;3,4396
7061	消灭4799729个敌人	1,4799729	1,2,3,4398	1,1;2,2;3,4397
7062	消灭4799730个敌人	1,4799730	1,2,3,4399	1,1;2,2;3,4398
7063	消灭4799731个敌人	1,4799731	1,2,3,4400	1,1;2,2;3,4399
7064	消灭4799732个敌人	1,4799732	1,2,3,4401	1,1;2,2;3,4400
7065	消灭4799733个敌人	1,4799733	1,2,3,4402	1,1;2,2;3,4401
7066	消灭4799734个敌人	1,4799734	1,2,3,4403	1,1;2,2;3,4402
7067	消灭4799735个敌人	1,4799735	1,2,3,4404	1,1;2,2;3,4403
7068	消灭4799736个敌人	1,4799736	1,2,3,4405	1,1;2,2;3,4404
7069	消灭4799737个敌人	1,4799737	1,2,3,4406	1,1;2,2;3,4405
7070	消灭4799738个敌人	1,4799738	1,2,3,4407	1,1;2,2;3,4406
7071	消灭4799739个敌人	1,4799739	1,2,3,4408	1,1;2,2;3,4407
7072	消灭4799740个敌人	1,4799740	1,2,3,4409	1,1;2,2;3,4408
7073	消灭4799741个敌人	1,4799741	1,2,3,4410	1,1;2,2;3,4409
7074	消灭4799742个敌人	1,4799742	1,2,3,4411	1,1;2,2;3,4410
7075	消灭4799743个敌人	1,4799743	1,2,3,4412	1,1;2,2;3,4411
7076	消灭4799744个敌人	1,4799744	1,2,3,4413	1,1;2,2;3,4412
7077	消灭4799745个敌人	1,4799745	1,2,3,4414	1,1;2,2;3,4413
7078	消灭4799746个敌人	1,4799746	1,2,3,4415	1,1;2,2;3,4414
7079	消灭4799747个敌人	1,4799747	1,2,3,4416	1,1;2,2;3,4415
7080	消灭4799748个敌人	1,4799748	1,2,3,4417	1,1;2,2;3,4416
7081	消灭4799749个敌人	1,4799749	1,2,3,4418	1,1;2,2;3,4417
7082	消灭4799750个敌人	1,4799750	1,2,3,4419	1,1;2,2;3,4418
7083	消灭4799751个敌人	1,4799751	1,2,3,4420	1,1;2,2;3,4419
7084	消灭4799752个敌人	1,4799752	1,2,3,4421	1,1;2,2;3,4420
7085	消灭4799753个敌人	1,4799753	1,2,3,4422	1,1;2,2;3,4421
7086	消灭4799754个敌人	1,4799754	1,2,3,4423	1,1;2,2;3,4422
7087	消灭4799755个敌人	1,4799755	1,2,3,4424	1,1;2,2;3,4423
7088	消灭4799756个敌人	1,4799756	1,2,3,4425	1,1;2,2;3,4424
7089	消灭4799757个敌人	1,4799757	1,2,3,4426	1,1;2,2;3,4425
7090	消灭4799758个敌人	1,4799758	1,2,3,4427	1,1;2,2;3,4426
7091	消灭4799759个敌人	1,4799759	1,2,3,4428	1,1;2,2;3,4427
7092	消灭4799760个敌人	1,4799760	1,2,3,4429	1,1;2,2;3,4428
7093	消灭4799761个敌人	1,4799761	1,2,3,4430	1,1;2,2;3,4429
7094	消灭4799762个敌人	1,4799762	1,2,3,4431	1,1;2,2;3,4430
7095	消灭4799763个敌人	1,4799763	1,2,3,4432	1,1;2,2;3,4431
7096	消灭4799764个敌人	1,4799764	1,2,3,4433	1,1;2,2;3,4432
7097	消灭4799765个敌人	1,4799765	1,2,3,4434	1,1;2,2;3,4433
7098	消灭4799766个敌人	1,4799766	1,2,3,4435	1,1;2,2;3,4434
7099	消灭4799767个敌人	1,4799767	1,2,3,4436	1,1;2,2;3,4435
7100	消灭4799768个敌人	1,4799768	1,2,3,4437	1,1;2,2;3,4436
7101	消灭4799769个敌人	1,4799769	1,2,3,4438	1,1;2,2;3,4437
7102	消灭4799770个敌人	1,4799770	1,2,3,4439	1,1;2,2;3,4438
7103	消灭4799771个敌人	1,4799771	1,2,3,4440	1,1;2,2;3,4439
7104	消灭4799772个敌人	1,4799772	1,2,3,4441	1,1;2,2;3,4440
7105	消灭4799773个敌人	1,4799773	1,2,3,4442	1,1;2,2;3,4441
7106	消灭4799774个敌人	1,4799774	1,2,3,4443	1,1;2,2;3,4442
7107	消灭4799775个敌人	1,4799775	1,2,3,4444	1,1;2,2;3,4443
7108	消灭4799776个敌人	1,4799776	1,2,3,4445	1,1;2,2;3,4444
7109	消灭4799777个敌人	1,4799777	1,2,3,4446	1,1;2,2;3,4445
7110	消灭4799778个敌人	1,4799778	1,2,3,4447	1,1;2,2;3,4446
7111	消灭4799779个敌人	1,4799779	1,2,3,4448	1,1;2,2;3,4447
7112	消灭4799780个敌人	1,4799780	1,2,3,4449	1,1;2,2;3,4448
